PaperID,date
9301201,1/3/1993
9301202,1/4/1993
9301203,1/4/1993
9301204,1/4/1993
9301205,1/4/1993
9301206,1/5/1993
9301207,1/5/1993
9301208,1/5/1993
9301209,1/5/1993
9301210,1/5/1993
9301211,1/6/1993
9301212,1/6/1993
9301213,1/6/1993
9301214,1/7/1993
9301215,1/7/1993
9301216,1/7/1993
9301217,1/7/1993
9301218,1/7/1993
9301219,1/7/1993
9301220,1/8/1993
9301221,1/8/1993
9301222,1/8/1993
9301223,1/8/1993
9301224,1/8/1993
9301225,1/10/1993
9301226,1/10/1993
9301227,1/11/1993
9301228,1/11/1993
9301229,1/11/1993
9301230,1/12/1993
9301231,1/12/1993
9301232,1/12/1993
9301233,1/12/1993
9301234,1/12/1993
9301235,1/13/1993
9301236,1/13/1993
9301237,1/13/1993
9301238,1/14/1993
9301239,1/14/1993
9301240,1/15/1993
9301241,1/15/1993
9301242,1/15/1993
9301243,1/15/1993
9301244,1/16/1993
9301245,1/16/1993
9301246,1/18/1993
9301247,1/18/1993
9301248,1/19/1993
9301249,1/19/1993
9301250,1/19/1993
9301251,1/20/1993
9301252,1/20/1993
9301253,1/21/1993
9301254,1/21/1993
9301255,1/21/1993
9301256,1/21/1993
9301257,1/21/1993
9301258,1/21/1993
9301259,1/22/1993
9301260,1/22/1993
9301261,1/22/1993
9301262,1/22/1993
9301263,1/22/1993
9301264,1/22/1993
9301265,1/25/1993
9301266,1/25/1993
9301267,1/25/1993
9301268,1/25/1993
9301269,1/25/1993
9301270,1/26/1993
9301271,1/26/1993
9301272,1/26/1993
9301273,1/26/1993
9301274,1/26/1993
9301275,1/26/1993
9301276,1/26/1993
9301277,1/26/1993
9301278,1/26/1993
9301279,1/26/1993
9301280,1/26/1993
9301281,1/27/1993
9301282,1/27/1993
9301283,1/27/1993
9301284,1/27/1993
9301285,1/27/1993
9301286,1/27/1993
9301287,1/27/1993
9301288,1/27/1993
9301289,1/28/1993
9301290,1/28/1993
9301291,1/28/1993
9301292,1/29/1993
9301293,1/29/1993
9301294,1/31/1993
9301295,2/1/1993
9301296,2/1/1993
119301002,1/7/1993
119301005,1/13/1993
119301002,1/5/1993
119301022,1/31/1993
119301008,1/4/1993
119301014,1/5/1993
119301025,1/8/1993
119301033,1/11/1993
119301060,1/15/1993
119301068,1/17/1993
119301116,1/27/1993
119301129,1/31/1993
119301001,2/1/1993
9302201,2/1/1993
9302202,2/2/1993
9302203,2/2/1993
9302204,2/2/1993
9302205,2/2/1993
9302206,2/3/1993
9302207,2/3/1993
9302208,2/3/1993
9302209,2/3/1993
9302210,2/3/1993
9302211,2/3/1993
9302212,2/3/1993
9302213,2/3/1993
9302214,2/3/1993
9302215,2/3/1993
9302216,2/4/1993
9302217,2/4/1993
9302218,2/4/1993
9302219,2/4/1993
9302220,2/4/1993
9302221,2/4/1993
9302222,2/4/1993
9302223,2/4/1993
9302224,2/5/1993
9302225,2/5/1993
9302226,2/5/1993
9302227,2/5/1993
9302228,2/5/1993
9302229,2/6/1993
9302230,2/8/1993
9302231,2/8/1993
9302232,2/8/1993
9302233,2/8/1993
9302234,2/8/1993
9302235,2/8/1993
9302236,2/9/1993
9302237,2/9/1993
9302238,2/9/1993
9302239,2/9/1993
9302240,2/9/1993
9302241,2/9/1993
9302242,2/9/1993
9302243,2/9/1993
9302244,2/9/1993
9302245,2/10/1993
9302246,2/11/1993
9302247,2/11/1993
9302248,2/11/1993
9302249,2/11/1993
9302250,2/11/1993
9302251,2/11/1993
9302252,2/11/1993
9302253,2/11/1993
9302254,2/11/1993
9302255,2/12/1993
9302256,2/13/1993
9302257,2/12/1993
9302258,2/12/1993
9302259,2/13/1993
9302260,2/15/1993
9302261,2/15/1993
9302262,2/16/1993
9302263,2/16/1993
9302264,2/17/1993
9302265,2/16/1993
9302266,2/16/1993
9302267,2/17/1993
9302268,2/17/1993
9302269,2/17/1993
9302270,2/17/1993
9302271,2/17/1993
9302272,2/17/1993
